episode: 319/10000, score: 124, e: 0.0099, -173
episode: 320/10000, score: 250, e: 0.0099, -172
episode: 321/10000, score: 124, e: 0.0099, -173
episode: 322/10000, score: 124, e: 0.0099, -174
episode: 323/10000, score: 124, e: 0.0099, -175
episode: 324/10000, score: 124, e: 0.0099, -176
episode: 325/10000, score: 124, e: 0.0099, -175
episode: 326/10000, score: 124, e: 0.0099, -174
episode: 327/10000, score: 124, e: 0.0099, -175
episode: 328/10000, score: 124, e: 0.0099, -176
episode: 329/10000, score: 124, e: 0.0099, -177
episode: 330/10000, score: 124, e: 0.0099, -178
episode: 331/10000, score: 124, e: 0.0099, -177
episode: 332/10000, score: 250, e: 0.0099, -178
episode: 333/10000, score: 124, e: 0.0099, -179
episode: 334/10000, score: 124, e: 0.0099, -180
episode: 335/10000, score: 124, e: 0.0099, -181
episode: 336/10000, score: 124, e: 0.0099, -182
episode: 337/10000, score: 124, e: 0.0099, -181
episode: 338/10000, score: 124, e: 0.0099, -182
episode: 339/10000, score: 124, e: 0.0099, -183
episode: 340/10000, score: 124, e: 0.0099, -184
episode: 341/10000, score: 124, e: 0.0099, -185
episode: 342/10000, score: 124, e: 0.0099, -186
episode: 343/10000, score: 124, e: 0.0099, -185
episode: 344/10000, score: 124, e: 0.0099, -186
episode: 345/10000, score: 124, e: 0.0099, -187
episode: 346/10000, score: 124, e: 0.0099, -188
episode: 347/10000, score: 124, e: 0.0099, -189
episode: 348/10000, score: 124, e: 0.0099, -190
episode: 349/10000, score: 124, e: 0.0099, -191
episode: 350/10000, score: 124, e: 0.0099, -192
episode: 351/10000, score: 124, e: 0.0099, -193
episode: 352/10000, score: 124, e: 0.0099, -194
episode: 353/10000, score: 124, e: 0.0099, -193
episode: 354/10000, score: 124, e: 0.0099, -192
episode: 355/10000, score: 124, e: 0.0099, -193
episode: 356/10000, score: 124, e: 0.0099, -194
episode: 357/10000, score: 124, e: 0.0099, -195
episode: 358/10000, score: 124, e: 0.0099, -196
episode: 359/10000, score: 124, e: 0.0099, -197
episode: 360/10000, score: 124, e: 0.0099, -196
episode: 361/10000, score: 124, e: 0.0099, -197
episode: 362/10000, score: 124, e: 0.0099, -198
episode: 363/10000, score: 124, e: 0.0099, -199
episode: 364/10000, score: 124, e: 0.0099, -200
episode: 365/10000, score: 124, e: 0.0099, -199
episode: 366/10000, score: 124, e: 0.0099, -198
